,,,,,,,,,,,,,,,,,,
Table 20a - Inflow and Outflow of Full-time Wholly Institutionally Financed Academic Staff ,,,,,,,,,,,,,,,,,,
"by Clinical Status, Employment in Previous Year, Destination, Grade(#9) and Primary Employment Function 2000/01",,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
United Kingdom,,,,,,,,,,,,,,,,, ,
,,,,,,,,,,,,,,,,,,
,,,,,,Teaching/                Teaching                           & research,Research                    only,,Professors,Senior lecturers                                & researchers,Lecturers,Researchers,Other          grades,,Total,,,
,,,,,,,,,,,,,,,,,,
35,,,Non-clinical ,,,70670,7575,,10635,19110,37080,6665,4755,,78245,,35,
36,,,,Current institution,,65245,5875,,10095,17920,33930,5020,4160,,71120,,36,
37,,,,UK other HEI,,1080,170,,135,220,675,165,60,,1250,,37,
,,,,,,,,,,,,,,,,,,
38,,,,Total outflow,,4345,1530,,410,965,2480,1480,535,,5870,,38,
39,,,,,UK,475,290,,35,75,315,280,60,,765,,39,
40,,,,,   Other education institution,120,25,,15,20,70,25,10,,145,,40,
41,,,,,   Student,20,55,,0,0,10,50,10,,70,,41,
42,,,,,   Public sector,95,60,,5,10,60,60,15,,155,,42,
43,,,,,   Private sector,245,150,,10,45,170,145,25,,395,,43,
44,,,,,Overseas,295,140,,30,55,175,145,30,,435,,44,
45,,,,,   Other HEI,175,50,,25,35,95,50,10,,220,,45,
46,,,,,   Research institute,25,35,,0,10,10,35,0,,60,,46,
47,,,,,   Student,5,5,,0,0,0,5,5,,10,,47,
48,,,,,   Other employment,90,50,,0,10,65,50,15,,140,,48,
49,,,,,Not in regular employment,155,80,,5,25,95,80,30,,230,,49,
50,,,,,Retired,970,35,,170,330,415,20,70,,1005,,50,
51,,,,,Death,65,5,,15,15,35,0,0,,70,,51,
52,,,,,Not known,2380,980,,160,460,1445,950,340,,3365,,52,
,,,,,,,,,,,,,,,,,,
53,,,Clinical ,,,2025,165,,840,640,535,10,160,,2190,,53,
54,,,,Current institution,,1770,110,,780,580,400,5,115,,1885,,54,
55,,,,UK other HEI,,25,5,,5,10,10,0,5,,30,,55,
,,,,,,,,,,,,,,,,,,
56,,,,Total outflow,,225,50,,55,50,125,5,40,,275,,56,
57,,,,,UK,65,20,,5,15,55,0,15,,85,,57,
58,,,,,   Other education institution,5,0,,0,0,0,0,0,,5,,58,
59,,,,,   Student,0,0,,0,0,0,0,0,,0,,59,
60,,,,,   Public sector,55,20,,0,10,50,0,10,,75,,60,
61,,,,,   Private sector,5,0,,0,5,0,0,0,,5,,61,
62,,,,,Overseas,5,5,,0,5,5,0,0,,10,,62,
63,,,,,   Other HEI,5,0,,0,0,0,0,0,,5,,63,
64,,,,,   Research institute,0,5,,0,0,0,0,0,,5,,64,
65,,,,,   Student,0,0,,0,0,0,0,0,,0,,65,
66,,,,,   Other employment,0,0,,0,0,0,0,0,,5,,66,
67,,,,,Not in regular employment,5,0,,0,0,5,0,0,,5,,67,
68,,,,,Retired,35,0,,25,10,0,0,0,,40,,68,
69,,,,,Death,0,0,,0,0,0,0,0,,0,,69,
70,,,,,Not known,110,20,,20,20,60,5,25,,130,,70,
 ,,,,,,,,,,,,,,,,, ,
,,,,,,,,,,,,,,,,,,
"In this table 0, 1, 2 are rounded to 0. All other numbers are rounded up or down to the nearest 5.",,,,,,,,,,,,,,,,,,
# see relevant footnote in Notes on Tables.,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Copyright © Higher Education Statistics Agency Ltd 2002,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
