,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Table 18a - Full-time Academic Staff by Cost Centre, Principal Source of Salary, Grade(#13) and Gender 2001/02",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United Kingdom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Wholly Institutionally Financed,,,,,,,,,,,,,,,,,All Other Sources of Finance,,,,,,,,,,,,,,,,,
29,,,Geography,25,195,,60,250,,160,395,,50,70,,10,40,,1250,,0,5,,0,5,,5,15,,120,180,,5,5,,335,,29
30,,,Social studies,245,1245,,565,1445,,1410,2040,,205,175,,115,225,,7670,,15,60,,40,55,,90,110,,585,435,,40,55,,1485,,30
31,,,"Librarianship, communication & media studies",25,75,,55,155,,315,475,,15,10,,20,55,,1200,,0,0,,0,0,,0,10,,15,10,,5,5,,45,,31
32,,,Language based studies,85,390,,255,505,,590,590,,30,35,,160,125,,2760,,0,10,,5,5,,30,30,,85,65,,5,0,,235,,32
33,,,Humanities,105,635,,270,915,,655,1150,,60,80,,55,125,,4050,,10,20,,10,20,,40,65,,150,205,,5,10,,525,,33
34,,,Design & creative arts,50,235,,260,615,,785,1430,,45,65,,110,200,,3790,,0,5,,5,10,,15,15,,55,50,,5,10,,165,,34
35,,,Education,95,265,,485,625,,1310,1110,,100,60,,110,155,,4315,,5,10,,10,20,,35,55,,155,85,,5,5,,390,,35
36,,,"French, Spanish & German modern languages",45,145,,155,250,,455,310,,15,15,,135,50,,1570,,0,0,,0,0,,5,5,,10,10,,5,5,,45,,36
37,,,Other modern languages,20,65,,35,90,,145,120,,5,5,,65,20,,570,,0,5,,0,0,,5,5,,10,10,,0,0,,40,,37
38,,,Archaeology,10,50,,15,70,,45,70,,15,30,,5,10,,315,,0,0,,0,0,,5,0,,45,55,,0,0,,110,,38
39,,,Sports science & leisure studies,5,50,,30,80,,210,390,,15,15,,15,35,,855,,0,0,,0,0,,0,5,,20,20,,0,0,,50,,39
40,,,Computer software engineering,25,255,,105,540,,375,1155,,45,170,,40,135,,2845,,0,10,,0,15,,10,40,,120,480,,10,20,,700,,40
41,,,Continuing education,5,20,,45,60,,95,100,,10,5,,50,25,,415,,0,0,,5,0,,5,5,,5,5,,5,5,,30,,41
,,,,,,,,,,,,,,,,,,, ,,,,,,,,,,,,,,,,, ,,
42,,Academic services ,,10,25, ,25,40, ,75,60, ,40,40, ,105,135, ,560,,0,0, ,0,5, ,20,15, ,40,40, ,5,15, ,145,,42
43,,,Central libraries & information services,0,0,,5,10,,30,20,,10,10,,70,75,,230,,0,0,,0,0,,0,0,,10,20,,5,5,,40,,43
44,,,Central computers & computer networks,0,5,,0,5,,0,5,,10,10,,10,30,,70,,0,0,,0,0,,0,0,,5,15,,0,0,,20,,44
45,,,Other academic services,10,20,,20,25,,45,35,,25,20,,25,30,,255,,0,0,,0,5,,15,15,,25,10,,0,10,,85,,45
,,,,,,,,,,,,,,,,,,, ,,,,,,,,,,,,,,,,, ,,
46,,Administration & central services ,,5,35, ,20,35, ,50,25, ,35,40, ,25,50, ,320,,0,0, ,5,10, ,0,5, ,5,10, ,5,0, ,50,,46
47,,,Central administration & services,5,35,,20,30,,25,20,,35,40,,20,40,,265,,0,0,,5,10,,0,5,,5,10,,5,0,,50,,47
48,,,Staff & student facilities,0,0,,0,5,,30,5,,0,0,,5,10,,55,,0,0,,0,0,,0,0,,0,0,,0,0,,0,,48
,,,,,,,,,,,,,,,,,,, ,,,,,,,,,,,,,,,,, ,,
49,,Premises,,0,0,,0,0,,0,0,,0,0,,0,0,,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,,49
,,,,,,,,,,,,,,,,,,, ,,,,,,,,,,,,,,,,, ,,
50,,Residences & catering operations,,0,0,,0,0,,0,0,,0,0,,0,0,,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,,50
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,,Total academic staff in departmental cost centres,,1495,10205, ,4995,15320, ,13955,22760, ,2670,3845, ,1980,3185,0,80410,,190,935, ,785,1620, ,2195,2580, ,11870,16815, ,1090,1410, ,39490,,51
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"In this table 0, 1, 2 are rounded to 0. All other numbers are rounded up or down to the nearest 5.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# see relevant footnote in Notes on Tables.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Copyright © Higher Education Statistics Agency Ltd 2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
